saif,subkind,class_top,class_full,group_top,group_full,sum
משרד לביטחון פנים,תקציב רגיל,חשבונות מעבר,חשבונות מעבר,בטחון וסדר ציבורי,בטחון פנים,0.0
משרד הבריאות,תקציב רגיל,קניות,רזרבה,שירותים חברתיים,בריאות,114152.0
"רשות האוכלוסין, ההגירה",תקציב רגיל,חשבונות מעבר,חשבונות מעבר,משרדי מטה,פנים ושלטון מקומי,0.0
נשיא המדינה ולשכתו,תקציב רגיל,קניות,רזרבה,משרדי מטה,משרדים נוספים,1636.0
תאום הפעולות בשטחים,תקציב רגיל,שכר,רזרבה,בטחון וסדר ציבורי,בטחון-אחר,8560.0
משרד הרווחה והשירותים,תקציב רגיל,קניות,רזרבה,שירותים חברתיים,רווחה,192000.0
משרד הרווחה והשירותים,תקציב רגיל,העברות  פנים תקציביות,הפחתות,שירותים חברתיים,רווחה,51506.0
משרד החינוך,תקציב רגיל,קניות,"קניות בחו""ל",שירותים חברתיים,חינוך,0.0
משרד האנרגיה והמים,תקציב רגיל,חשבונות מעבר,חשבונות מעבר,תשתיות,אנרגיה,0.0
רשויות מקומיות,תקציב רגיל,העברות,מוצרים ציבוריים,משרדי מטה,פנים ושלטון מקומי,14786.0
משרד לביטחון פנים,תקציב רגיל,שכר,שכר בארץ,בטחון וסדר ציבורי,בטחון פנים,524094.0
בחירות ומימון מפלגות,תקציב רגיל,העברות,מוצרים ציבוריים,משרדי מטה,משרדים נוספים,0.0
משרד החקלאות,תקציב רגיל,העברות,רזרבה,ענפי משק,חקלאות,99918.0
פיתוח לאומי,מפעלים עסקיים,הכנסות מיועדות,הכנסות תקציב פיתוח,משרדי מטה,ראש הממשלה,1000000.0
משרד הבינוי והשיכון,תקציב רגיל,הכנסות מיועדות,הכנסות תקציב רגיל,תשתיות,בינוי ושיכון,4139.0
גמלאות ופיצויים,תקציב רגיל,קניות,רזרבה,הוצאות אחרות,גמלאות,984.0
המשרד לשירותי דת,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,משרדי מטה,שירותי דת,175952.0
הוצאות מינהל מקרקעי,מפעלים עסקיים,קניות,קניות בארץ,תשתיות,רשות מקרקעי ישראל,180000.0
משרד החוץ,תקציב רגיל,שכר,שכר בארץ,משרדי מטה,חוץ,328700.0
תמיכות בענפי המשק,תקציב רגיל,העברות,רזרבה,ענפי משק,תעשיה ותעסוקה,33983.0
"משרד המדע והחלל, התרבות",תקציב רגיל,קניות,קניות בארץ,שירותים חברתיים,"מדע, תרבות וספורט",125561.0
משרד ראש הממשלה,תקציב רגיל,חשבונות מעבר,חשבונות מעבר,משרדי מטה,ראש הממשלה,0.0
מענקי בינוי ושיכון,תקציב רגיל,העברות,רזרבה,תשתיות,בינוי ושיכון,56638.0
ביטוח לאומי,תקציב רגיל,העברות,רזרבה,שירותים חברתיים,העברות לביטוח הלאומי,1111943.0
נשיא המדינה ולשכתו,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,משרדי מטה,משרדים נוספים,3862.0
משרד הרווחה והשירותים,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,שירותים חברתיים,רווחה,487342.0
הוצאות מינהל מקרקעי,מפעלים עסקיים,השקעה,רזרבה,תשתיות,רשות מקרקעי ישראל,0.0
משרד החוץ,תקציב רגיל,חשבונות מעבר,חשבונות מעבר,משרדי מטה,חוץ,0.0
משרד הבריאות,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,שירותים חברתיים,בריאות,2873391.0
המשרד לקליטת העליה,תקציב רגיל,קניות,קניות בארץ,שירותים חברתיים,קליטת עליה,590806.0
רשויות פיקוח,תקציב רגיל,הכנסות מיועדות,הכנסות תקציב רגיל,הוצאות אחרות,הוצאות שונות,162057.0
תשלום ריבית ועמלות,החזר חובות,החזר חוב - ריבית,החזר ריבית בארץ,החזרי חוב,ריבית,33203820.0
הוצאות חירום אזרחיות,תקציב רגיל,שכר,שכר בארץ,בטחון וסדר ציבורי,בטחון-אחר,0.0
תמיכות שונות,תקציב רגיל,העברות,רזרבה,תשתיות,תחבורה,0.0
משרד ראש הממשלה,תקציב רגיל,שכר,שכר בארץ,משרדי מטה,ראש הממשלה,689655.0
מבקר המדינה,תקציב רגיל,העברות,תשלומי העברה סוציאליים,משרדי מטה,משרדים נוספים,200.0
ביטוח לאומי,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,שירותים חברתיים,העברות לביטוח הלאומי,387725.0
המשרד לקליטת העליה,תקציב רגיל,שכר,שכר בארץ,שירותים חברתיים,קליטת עליה,111826.0
הוצאות שונות,תקציב רגיל,העברות,מוצרים ציבוריים,הוצאות אחרות,הוצאות שונות,15743.0
תמיכות שונות,תקציב רגיל,קניות,רזרבה,תשתיות,אנרגיה,0.0
הוצאות מינהל מקרקעי,מפעלים עסקיים,חשבונות מעבר,חשבונות מעבר,תשתיות,רשות מקרקעי ישראל,0.0
משרד הבריאות,תקציב רגיל,העברות,רזרבה,שירותים חברתיים,בריאות,11241.0
נמל חדרה,מפעלים עסקיים,חשבונות מעבר,חשבונות מעבר,תשתיות,תחבורה,0.0
הוצאות שונות,תקציב רגיל,העברות,שכר עקיף,הוצאות אחרות,הוצאות שונות,0.0
הוצאות חירום אזרחיות,תקציב רגיל,קניות,קניות בארץ,בטחון וסדר ציבורי,בטחון-אחר,111579.0
משרד החינוך,תקציב רגיל,שכר,רזרבה,שירותים חברתיים,חינוך,2608310.0
משרד ראש הממשלה,תקציב רגיל,קניות,קניות בארץ,משרדי מטה,ראש הממשלה,222746.0
"משרד המדע והחלל, התרבות",תקציב רגיל,חשבונות מעבר,חשבונות מעבר,שירותים חברתיים,"מדע, תרבות וספורט",0.0
משרד התחבורה והבטיחות,תקציב רגיל,קניות,רזרבה,תשתיות,תחבורה,21482.0
המרכז למיפוי ישראל,תקציב רגיל,שכר,רזרבה,תשתיות,בינוי ושיכון,1642.0
מטה לביטחון לאומי,תקציב רגיל,קניות,קניות בארץ,משרדי מטה,ראש הממשלה,48889.0
משרד המשפטים,תקציב רגיל,הכנסות מיועדות,הכנסות תקציב רגיל,משרדי מטה,משפטים,52919.0
המשרד לשירותי דת,תקציב רגיל,העברות,רזרבה,משרדי מטה,שירותי דת,18063.0
שיכון,תקציב פיתוח,העברות  פנים תקציביות,השתתפויות,תשתיות,בינוי ושיכון,155200.0
הוצאות מינהל מקרקעי,מפעלים עסקיים,שכר,שכר בארץ,תשתיות,רשות מקרקעי ישראל,238296.0
המשרד לקליטת העליה,תקציב רגיל,חשבונות מעבר,חשבונות מעבר,שירותים חברתיים,קליטת עליה,0.0
משרד החקלאות,תקציב רגיל,העברות  פנים תקציביות,הפחתות,ענפי משק,חקלאות,567888.0
תמיכות בענפי המשק,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,ענפי משק,תעשיה ותעסוקה,289445.0
משרד הכלכלה,תקציב רגיל,הכנסות מיועדות,הכנסות תקציב רגיל,ענפי משק,תעשיה ותעסוקה,130487.0
משרד התיירות,תקציב רגיל,קניות,רזרבה,ענפי משק,תיירות,5343.0
"בתי""ח פסיכיאטרים",מפעלים עסקיים,הכנסות מיועדות,הכנסות תקציב רגיל,שירותים חברתיים,בריאות,0.0
משרד החינוך,תקציב רגיל,העברות,תשלומי העברה סוציאליים,שירותים חברתיים,חינוך,0.0
שיכון,תקציב פיתוח,השקעה,השקעה בארץ,תשתיות,בינוי ושיכון,247487.0
"משרד המדע והחלל, התרבות",תקציב רגיל,שכר,שכר בארץ,שירותים חברתיים,"מדע, תרבות וספורט",44455.0
מענקי בינוי ושיכון,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,תשתיות,בינוי ושיכון,798694.0
מענקי בינוי ושיכון,תקציב רגיל,קניות,רזרבה,תשתיות,בינוי ושיכון,6176.0
דיור ממשלתי,תקציב פיתוח,השקעה,רזרבה,משרדי מטה,אוצר,72527.0
מענקי בינוי ושיכון,תקציב רגיל,העברות  פנים תקציביות,הפחתות,תשתיות,בינוי ושיכון,170114.0
המשרד להגנת הסביבה,תקציב רגיל,העברות,מוצרים ציבוריים,ענפי משק,הגנת הסביבה,146156.0
משרד התיירות,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,ענפי משק,תיירות,23419.0
תמיכות בענפי המשק,תקציב רגיל,קניות,רזרבה,ענפי משק,תעשיה ותעסוקה,51588.0
הוצאות שונות,תקציב רגיל,העברות,תשלומי העברה סוציאליים,הוצאות אחרות,הוצאות שונות,2731894.0
משרד הבטחון,תקציב רגיל,הכנסות מיועדות,הכנסות תקציב רגיל,בטחון וסדר ציבורי,בטחון,908300.0
"משרד המדע והחלל, התרבות",תקציב רגיל,העברות,תמיכות לפי סעיף 3א,שירותים חברתיים,"מדע, תרבות וספורט",107488.0
משרד החקלאות,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,ענפי משק,חקלאות,83914.0
משרד לביטחון פנים,תקציב רגיל,קניות,קניות בארץ,בטחון וסדר ציבורי,בטחון פנים,807626.0
"רשות האוכלוסין, ההגירה",תקציב רגיל,קניות,קניות בארץ,משרדי מטה,פנים ושלטון מקומי,46812.0
שיכון,תקציב פיתוח,העברות  פנים תקציביות,הפחתות,תשתיות,בינוי ושיכון,8000.0
הוצאות מינהל מקרקעי,מפעלים עסקיים,העברות,לאוצר המדינה,תשתיות,רשות מקרקעי ישראל,1000000.0
תמיכות שונות,תקציב רגיל,העברות,סובסידיה,תשתיות,משק המים,0.0
משרד החינוך,תקציב רגיל,העברות,מוצרים ציבוריים,שירותים חברתיים,חינוך,2505561.0
משרד האנרגיה והמים,תקציב רגיל,קניות,קניות בארץ,תשתיות,אנרגיה,94243.0
משרד התחבורה והבטיחות,תקציב רגיל,העברות  פנים תקציביות,השתתפויות,תשתיות,תחבורה,332134.0
משרד האוצר,תקציב רגיל,שכר,"שכר בחו""ל",משרדי מטה,אוצר,10483.0
משרד החינוך,תקציב רגיל,העברות,שכר עקיף,שירותים חברתיים,חינוך,7414750.0
מפעלי משרד ראש הממשלה,מפעלים עסקיים,קניות,רזרבה,משרדי מטה,ראש הממשלה,9566.0
"משרד המדע והחלל, התרבות",תקציב רגיל,העברות,מוצרים ציבוריים,שירותים חברתיים,"מדע, תרבות וספורט",108763.0
משפטים ובתי משפט,תקציב פיתוח,השקעה,רזרבה,משרדי מטה,משפטים,66.0
משרד ראש הממשלה,תקציב רגיל,העברות,סובסידיה,משרדי מטה,ראש הממשלה,22023.0
